,Day,PS_Q_DAY,PS_DS_DAY,PS_VS_DAY,TPS_Q1_DAY,TPS_DS_DAY,TPS_VS_DAY,TWAS_DAF_QIN_DAY,TWAS_DAF_Q2_DAY,TWAS_DAF_DS_DAY,TWAS_DAF_VS_DAY,TWAS_CENT_Q3_DAY,TWAS_CENT_DS_DAY,TWAS_CENT_VS_DAY,SONIC_TWAS_Q_DAY,SONIC_TWAS_DDCOD_WEEK,DIGESTED_SLUDGE_QOUT_DAY,DIGESTED_SLUDGE_DS_3_PER_WEEK,DIGESTED_SLUDGE_VS_3_PER_WEEK,BIOGAS_PRODUCTION_Q_DAY,CH4CONTENT_WEEKLY,DIG_SLUDGE_DEWATER_FEED,DIG_SLUDGE_DEWATER_FECL3_DAY,DIG_SLUDGE_DEWATER_PLYMER_CONSUMPTION_3_PER_WEEK,DIG_SLUDGE_DEWATER_DS_AFTER_DEWATER_3_PER_WEEK,CAKE
771,10,763,1.3,87,199.5,1.4,88,231.5,,4.1,83,,5.9,83,,,451,1.6,79,3.023,,,2100,,30,
772,11,820,1.7,89,199.5,3.6,89,256.5,,3.9,85,,4.4,84,,,472,2.2,80,2.974,,,2100,,30,
773,12,711,3.1,87,199.5,3.7,90,207.5,,4.6,85,,5.4,84,,,401,2.1,80,3.258,,,2100,,31,
774,13,775,1.8,86,199.5,2.9,85,199.5,,4.9,85,,3.7,84,,,406,1.9,79,3.386,,,2100,,30,
775,14,920,2.3,88,66.5,4.7,84,296.5,,3.9,85,,4,84,,,354,2.2,80,3.026,,,2100,,31,
776,15,831,,,66.5,,,215.5,,,,,,,,,303,,,2.862,,,2100,,30,
777,16,810,,,133,,,187,,,,,,,,,308,,,2.544,,,2100,,31,
778,17,888,1.8,88,133,2.5,89,201,,3.2,86,,3.8,85,,,335,2.1,80,3.099,,,2100,,30,
779,18,763,1.5,87,66.5,2.3,88,254.5,,4.9,85,,3.9,84,,,327,2,80,2.714,,,2100,,30,
780,19,900,1.8,89,66.5,2.1,87,224.5,,3.9,85,,,,,,291,2,79,2.411,,,2100,,30,
781,20,875,2,88,133,2.1,89,243,,3.6,85,,3.1,85,,,372,,,3.034,,,2100,,30,
782,21,1021,1.8,89,159,3.1,89,164,,3.4,85,,3.5,85,,,320,2.1,79,3.015,,,2100,,30,
783,22,974,,,66.5,,,141.5,,,,,,,,,280,,,2.654,,,2100,,31,
784,23,763,,,66.5,,,187.5,,,,,,,,,253,,,2.8,,,2100,,31,
785,24,881,1.4,88,133,3.8,87,223,,3,85,,3.8,86,,,364,2.1,80,2.668,,,2100,,31,
786,25,868,,,133,,,401,,,,,3.8,84,,,462,2,80,2.71,,,2100,,29,
787,26,895,1.4,87,66.5,3.9,89,367.5,,5.1,85,,6.4,84,,,380,2.1,74,3.078,,,2100,,30,
788,27,902,2.4,87,66.5,3.3,87,136.5,,4.1,84,,4,84,,,226,3.5,82,2.318,,,2100,,29,
789,28,801,1.7,87,133,2.8,86,187,,3.5,84,,,,,,300,1.9,79,2.964,,,2100,,32,
790,1,861,,,133,,,136,,,,,,,,,263,,,2.538,,,0,,32,
791,2,861,,,66.5,,,257.5,,,,,,,,,322,,,2.362,,,4200,,30,
792,3,912,2.9,88,66.5,3.2,90,142.5,,2.8,84,,4.8,84,,,222,2.2,70,2.595,,,5600,,31,
793,4,1005,,,199.5,,,165.5,,3.4,84,,,,,,316,2.1,76,2.75,,,7000,,31,
794,5,945,1.7,87,199.5,2.1,88,264.5,,3.7,85,,,,,,509,2,78,2.607,,,5600,,30,
795,6,768,1.4,87,199.5,1.5,87,156.5,,2.6,84,,,,,,354,2,80,2.362,,,4200,,31,
796,7,900,1.6,88,199.5,1.6,86,177.5,,3.7,83,,,,,,358,2.6,80,1.985,,,4200,,31,
797,8,744,,,199.5,,,139.5,,,,,,,,,339,,,2.836,,,2800,,32,
798,9,675,,,199.5,,,163.5,,,,,,,,,372,,,2.134,,,1400,,31,
799,10,807,2.4,87,199.5,2.8,87,132.5,,3.9,83,,,,,,323,1.7,76,3.231,,,1400,,29,
800,11,764,1.7,89,199.5,3,88,150.5,,4.9,84,,5.7,82,,,339,2.2,78,2.475,,,1400,,,
801,12,752,2,89,199.5,2.9,86,211.5,,3.8,84,,5.5,82,,,401,2.2,77,2.497,,,2800,,29,
802,13,670,2.1,87,199.5,5,93,124.5,,3,83,,5.6,82,,,343,2.2,78,3.185,,,4200,,29,
803,14,711,1.6,87,199.5,1.6,88,196.5,,4,83,,5.3,82,,,382,3,78,2.542,,,4200,,29,
804,15,943,,,199.5,,,184.5,,,,,,,,,395,,,3.052,,,1400,,32,
805,16,860,,,199.5,,,242.5,,,,,,,,,429,,,2.975,,,1400,,33,
806,17,693,1.3,89,199.5,1.7,89,214.5,,3.8,84,,,,,,377,2.3,79,2.983,,,2800,,29,
807,18,891,1.1,88,199.5,1.1,89,161.5,,3.8,84,,,,,,427,2.4,78,3.125,,,2800,,29,
808,19,786,1.6,86,199.5,1.7,87,263.5,,3.6,84,,5.1,83,,,465,2.1,76,3.218,,,4200,,29,
809,20,931,1.8,87,133,4.4,87,320,,3,83,,5.6,81,,,452,2.4,77,3.284,,,2800,,30,
810,21,904,1.7,86,199.5,2.3,84,213.5,,,,,5.2,82,,,401,1.9,76,2.791,73,,2800,,29,
811,22,819,,,199.5,,,196.5,,,,,,,,,396,,,2.836,,,2800,,30,
812,23,864,,,199.5,,,196.5,,,,,,,,,407,,,2.555,,,1400,,29,
813,24,916,0.33,80,199.5,2.3,85,216.5,,4,82,,5.4,82,,,413,2.3,75,2.827,,,1400,,30,
814,25,742,2.5,82,199.5,2.8,86,226.5,,2.8,83,,4.8,82,,,399,1.9,76,2.921,,,4200,,30,
815,26,863,0.79,86,199.5,1.8,88,263.5,,3,83,,4.2,82,,,470,2.5,78,3.114,,,2800,,32,
816,27,651,1.9,88,199.5,3.7,82,221.5,,2.8,83,,4.7,83,,,446,2.2,78,2.807,,,2800,,32,
817,28,836,1.8,84,199.5,,,236.5,,3.2,82,,4.9,82,,,437,3,81,3.02,,,2800,,31,
818,29,530,,,199.5,,,284.5,,,,,,,,,420,,,2.771,,,2800,,29,
819,30,570,,,199.5,,,264.5,,,,,,,,,520,,,2.7,,,1400,,29,
820,31,621,2.2,82,199.5,3,74,257.5,,3,84,,4.9,82,,,445,2.1,77,2.551,,,2800,,30,
821,1,591,2,85,199.5,2.3,87,217.5,,4.1,84,,5.2,83,,,420,2.8,82,2.504,,,4200,,31,
822,2,665,2,87,199.5,2.1,87,290.5,,3.6,82,,5.3,82,,,496,2,78,2.859,,,2800,,30,
823,3,732,1.4,86,199.5,2,85,182.5,,4.2,83,,4.5,81,,,384,2,80,2.626,,,4200,,30,
824,4,618,1.8,80,199.5,2,82,134.5,,2.6,81,,5.3,81,,,326,2,73,2.574,,,2800,,29,
825,5,545,,,199.5,,,149.5,,,,,,,,,362,,,2.713,,,1400,,30,
826,6,760,,,199.5,,,273.5,,,,,,,,,375,,,2.58,,,2800,,30,
827,7,556,2,86,199.5,2.8,81,252.5,,5,83,,6.1,81,,,431,3,79,2.466,,,1400,,31,
828,8,698,3.1,88,199.5,,,186.5,,3.6,83,,4.9,82,,,389,2.6,82,2.461,,,4200,,31,
829,9,556,2.5,86,199.5,,,199.5,,3.9,82,,3.9,81,,,421,2.1,78,2.716,,,1400,,31,
830,10,557,2.1,85,199.5,,,287.5,,3.1,82,,4,82,,,424,2.3,78,2.68,,,2800,,31,
831,11,739,0.89,84,199.5,,,249.5,,2.6,82,,5.3,82,,,465,2.6,80,2.905,,,1400,,29,
832,12,653,,,199.5,,,226.5,,,,,,,,,425,,,2.943,,,2800,,30,
833,13,659,,,199.5,,,245.5,,,,,,,,,472,,,2.914,,,1400,,30,
834,14,671,1.7,85,199.5,,,202.5,,3.2,84,,3.7,82,,,423,1.8,77,2.678,,,1400,,29,
835,15,720,2.8,87,199.5,,,304.5,,4.4,82,,4,82,,,488,3.6,80,2.739,,,4200,,30,
836,16,619,2.8,87,199.5,,,205.5,,4.8,84,,4.9,82,,,408,2.4,77,2.921,,,2800,,30,
837,17,559,3.1,87,199.5,,,181.5,,4.1,83,,4.5,82,,,383,2.4,78,3.086,,,4200,,30,
838,18,565,,,199.5,,,265.5,,,,,,,,,460,,,2.665,,,1400,,30,
839,19,692,,,199.5,,,224.5,,,,,,,,,426,,,2.876,,,1400,,31,
840,20,561,,,199.5,,,224.5,,,,,,,,,421,,,2.684,,,1400,,31,
841,21,560,,,199.5,,,168.5,,,,,,,,,383,,,2.55,,,2800,,,
842,22,614,1.6,88,199.5,2.3,88,206.5,,3.9,83,,4.2,82,,,398,2.1,79,2.119,,,2800,,29,
843,23,395,1.6,86,66.5,2.2,86,222.5,,3.6,82,,4.8,81,,,266,1.8,77,1.767,,,2800,,30,
844,24,889,1.4,86,199.5,1.6,84,257.5,,3.4,83,,3.9,81,,,472,2,78,1.88,,,4200,,29,
845,25,877,1.4,84,199.5,1.7,86,216.5,,2.7,82,,3.9,80,,,421,1.9,76,1.513,75,,2800,,33,
846,26,711,,,199.5,,,271.5,,,,,,,,,470,,,1.824,,,2800,,32,
847,27,711,,,199.5,,,188.5,,,,,,,,,390,,,1.67,,,1400,,30,
848,28,993,1.9,84,199.5,1.9,85,185.5,,2.7,82,,4.9,81,,,392,1.8,76,1.613,,,1400,,32,
849,29,823,2.1,84,199.5,2.1,85,180.5,,2.7,83,,5.4,81,,,387,2,76,1.943,,,4200,,32,
850,30,625,1.6,85,199.5,1.5,85,377.5,,3.1,82,,,,,,569,1.9,77,1.811,,,4200,,29,
